
B a
势 -9.65326902499431D
勁 -10.409595107175788D
勇 -6.874323002259063D
動 -7.558637317820499D
勞 -7.5289321634065836D
勢 -9.65326902499431D
勤 -7.360940432167454D
勻 -8.527809486290012D
匀 -8.527809486290012D
匆 -8.031660576939954D
升 -9.32558161792883D
华 -7.247980003171001D
卑 -7.7830379403247605D
卓 -7.116984050420341D
单 -5.725453020737345D
卖 -8.910360334875302D
博 -7.725006392752575D
卤 -11.599179174049624D
危 -7.091464324212246D
厉 -6.515116411398551D
厚 -7.546152761158254D
原 -5.917058196174602D
厲 -6.515116411398551D
参 -9.214355982818606D
參 -9.214355982818606D
友 -6.862980725655128D
反 -6.935740079937556D
发 -5.2470476617333714D
受 -8.151461776752575D
口 -13.545089323104937D
古 -5.830858178255851D
叫 -10.772500600865156D
可 -4.869867267463789D
吃 -6.6383345444563835D
各 -7.698650548047213D
合 -4.753451286018939D
吉 -8.632434437368884D
名 -7.8247775464975255D
吓 -10.286992785083456D
吝 -9.282409446063621D
含 -7.39662102718729D
听 -8.308647360274987D
呆 -8.575276023528936D
呛 -12.446477034436827D
周 -7.158210003742292D
味 -11.465647781425101D
命 -9.613263690380611D
和 -6.143858058691922D
哀 -8.445222895280738D
响 -7.95410234259408D
唯 -9.3707020532093D
善 -7.467447079755902D
喜 -7.409524432023198D
喧 -11.599179174049624D
喪 -9.59384560452351D
單 -5.725453020737345D
喷 -11.753329853876883D
嗆 -12.446477034436827D
嘈 -8.386034023890408D
嘴 -9.613263690380611D
嘶 -8.654740194883184D
嘹 -9.386206239745265D
噜 -12.851942142544992D
噪 -11.465647781425101D
噴 -11.753329853876883D
嚇 -10.286992785083456D
嚕 -12.851942142544992D
嚣 -9.227601209568627D
嚴 -4.347429004286129D
囂 -9.227601209568627D
团 -6.530274971829392D
困 -7.3385133963800095D
固 -5.326841396419191D
圆 -7.2297313215826025D
圓 -7.2297313215826025D
團 -6.530274971829392D
土 -10.286992785083456D
圣 -8.74106827837168D
在 -8.900698423963565D
地 -8.589262265503676D
均 -6.067485079907348D
坎 -8.669891999903786D
坑 -13.545089323104937D
坚 -5.591419544455139D
坦 -7.407362269018702D
埋 -11.753329853876883D
執 -7.93928725680894D
基 -4.185294997960416D
堂 -9.88152767697529D
堅 -5.591419544455139D
塌 -11.465647781425101D
壮 -6.975607902690641D
壯 -6.975607902690641D
复 -5.254294975723582D
外 -10.018728798488775D
多 -6.5484078349283985D
够 -9.856209868991D
夠 -9.856209868991D
大 -7.281691060513313D
天 -7.889097512285084D
太 -7.2315412768278415D
夭 -13.545089323104937D
失 -6.601966900285508D
头 -7.0574053046203264D
奇 -6.3881329584893D
奢 -7.500084009068925D
奥 -10.837039122002727D
奧 -10.837039122002727D
奸 -8.669891999903786D
好 -5.850241250720327D
如 -12.158794961985047D
妍 -12.446477034436827D
妖 -9.12624871530834D
妙 -11.24250423011089D
妥 -7.670158592252906D
妩 -8.476185120884706D
委 -8.089768207747236D
姦 -8.669891999903786D
威 -7.208263591958496D
娇 -7.805296410925703D
娟 -10.367035492756992D
娴 -8.765965829993407D
婀 -10.367035492756992D
婉 -8.308647360274987D
媚 -11.24250423011089D
嫵 -8.476185120884706D
嫻 -8.765965829993407D
嬌 -7.805296410925703D
孟 -10.177793493118463D
孤 -7.052849488084465D
孱 -10.212884812929733D
宁 -7.868335520836656D
守 -8.791499131998572D
安 -5.760200027449839D
完 -5.373772448385206D
宏 -6.9868915202926685D
宛 -13.545089323104937D
宜 -8.352132472214727D
宝 -7.379671468873517D
实 -7.75819194173823D
审 -7.854729868780876D
客 -7.208263591958496D
害 -8.457492987872552D
家 -9.214355982818606D
容 -4.947976508512826D
宽 -5.073311995219182D
寂 -6.833348928048757D
密 -6.337970466897181D
富 -6.295163786386949D
寒 -6.783516554300881D
寡 -10.367035492756992D
寥 -10.549357049550945D
實 -7.75819194173823D
寧 -7.868335520836656D
審 -7.854729868780876D
寬 -5.073311995219182D
寶 -7.379671468873517D
对 -6.923683671340802D
寻 -7.449264760672712D
封 -5.756877765257861D
專 -7.749031572339565D
尊 -8.335603170263516D
尋 -7.449264760672712D
對 -6.923683671340802D
小 -8.929968806263677D
少 -7.405204770878682D
尔 -11.935651410670836D
尖 -6.826076168719677D
尚 -10.249252457100608D
尴 -6.991155919079126D
尷 -6.991155919079126D
尽 -13.545089323104937D
局 -9.268423204088881D
屈 -12.446477034436827D
属 -9.079181204450354D
屬 -9.079181204450354D
岑 -12.446477034436827D
峭 -10.71187597904872D
峻 -10.177793493118463D
崇 -7.9174682094143D
崎 -8.324733498026612D
工 -8.48249429007797D
左 -13.545089323104937D
巧 -7.543674445143787D
巨 -4.957624078703367D
差 -10.906031993489679D
帅 -9.88152767697529D
希 -10.018728798488775D
帥 -9.88152767697529D
带 -11.465647781425101D
帶 -11.465647781425101D
常 -5.3569559085944585D
干 -5.259828189035988D
平 -3.450816135362725D
年 -5.593882166631966D
幸 -5.934236532709686D
幹 -5.259828189035988D
幼 -7.972935290927173D
幽 -6.897400949541607D
广 -4.817149100711041D
庄 -7.0229965249347845D
庞 -6.407810885844551D
康 -9.201283901251253D
庸 -7.392356628400832D
廉 -7.591845988817153D
廣 -4.817149100711041D
开 -7.224321028854354D
异 -5.837577128504597D
弗 -13.545089323104937D
弛 -10.549357049550945D
张 -9.694941721394878D
弯 -11.935651410670836D
弱 -9.012489829951681D
張 -9.694941721394878D
強 -4.481394531470239D
强 -4.481394531470239D
彎 -11.935651410670836D
彪 -11.060182673316937D
彭 -13.545089323104937D
很 -4.663530834465961D
得 -6.415791774175564D
從 -7.49300015418052D
微 -6.371897580618339D
心 -6.828494549583959D
必 -5.507223088395319D
忐 -9.484646312558517D
忙 -7.438066435362683D
忠 -7.1820612195644715D
忧 -7.161582688220931D
快 -6.498442045256181D
念 -10.326213498236736D
忸 -10.11110211861979D
忿 -9.32558161792883D
怅 -9.537756137872465D
怕 -7.961593014323238D
怠 -10.906031993489679D
怡 -8.826590451809842D
急 -6.599075332005709D
性 -8.534454029008682D
怪 -8.039757787172574D
怯 -8.900698423963565D
恆 -10.018728798488775D
恍 -8.368939590531108D
恐 -6.553912435983728D
恒 -10.018728798488775D
恢 -9.633066317676791D
恩 -9.079181204450354D
恬 -9.201283901251253D
恭 -7.379671468873517D
恰 -7.7643458073126075D
恳 -8.862958095980717D
恶 -6.482041159716765D
恼 -8.319342649391736D
悅 -8.73290496773252D
悍 -10.772500600865156D
悖 -11.753329853876883D
悚 -10.048581761638458D
悠 -6.6097188770898265D
悦 -8.73290496773252D
悬 -7.7767683273111645D
悭 -10.549357049550945D
悱 -12.446477034436827D
悲 -5.941191354583056D
悵 -9.537756137872465D
悶 -8.920116509820666D
情 -9.556105276540663D
惆 -8.949969472970347D
惊 -5.241089352149741D
惋 -8.363305772812852D
惜 -13.545089323104937D
惝 -12.446477034436827D
惡 -6.482041159716765D
惧 -11.599179174049624D
惨 -7.246140076248994D
惫 -10.11110211861979D
惬 -9.012489829951681D
惭 -7.984407692089409D
惱 -8.319342649391736D
惶 -7.882128842968991D
惹 -10.212884812929733D
惺 -11.24250423011089D
愁 -8.970378344601555D
愉 -6.889648972737289D
意 -5.921936254628035D
愕 -8.791499131998572D
愚 -7.548637234485915D
愛 -6.30372303978262D
愜 -9.012489829951681D
感 -7.561153042417747D
愤 -7.566203558203815D
愧 -9.175641470637915D
慈 -6.849290406046445D
慌 -7.346610606612629D
慎 -7.81824157551774D
慘 -7.246140076248994D
慚 -7.984407692089409D
慧 -12.446477034436827D
慳 -10.549357049550945D
慵 -10.549357049550945D
慷 -8.197981792387468D
憂 -7.161582688220931D
憊 -10.11110211861979D
憋 -9.268423204088881D
憔 -8.19323118962887D
憤 -7.566203558203815D
憨 -9.386206239745265D
懂 -8.04383111256021D
懇 -8.862958095980717D
懈 -9.138370075840683D
懒 -9.114272524261624D
懦 -12.158794961985047D
懶 -9.114272524261624D
懸 -7.7767683273111645D
懼 -11.599179174049624D
成 -4.396092581369806D
戒 -12.446477034436827D
手 -9.09074202685143D
扎 -7.8247775464975255D
扑 -13.545089323104937D
执 -7.93928725680894D
扫 -9.034229816588088D
扭 -10.249252457100608D
扼 -9.633066317676791D
承 -11.465647781425101D
抑 -8.282399134200052D
投 -11.753329853876883D
抠 -10.600650343938497D
抢 -7.834662305730068D
抱 -8.188503048432924D
押 -9.401954596713404D
抽 -7.211809694965247D
拉 -13.545089323104937D
拔 -10.018728798488775D
拖 -10.454046869746621D
拗 -10.654717565208772D
拘 -8.115743694150495D
拙 -9.694941721394878D
拥 -7.841306848448736D
拮 -9.502038055270386D
拿 -9.09074202685143D
持 -7.2835976387838945D
挑 -13.545089323104937D
挚 -12.851942142544992D
挺 -8.817701504392597D
掃 -9.034229816588088D
排 -13.545089323104937D
揪 -9.386206239745265D
搞 -10.048581761638458D
搶 -7.834662305730068D
摩 -9.417954938059845D
摯 -12.851942142544992D
摳 -10.600650343938497D
撩 -10.837039122002727D
撲 -13.545089323104937D
擁 -7.841306848448736D
操 -12.851942142544992D
放 -8.319342649391736D
敌 -8.137917551644819D
敏 -6.141419033092563D
敗 -10.212884812929733D
敞 -10.600650343938497D
散 -8.039757787172574D
敦 -9.716447926615842D
整 -6.913087545709307D
敵 -8.137917551644819D
文 -8.708807416153459D
斯 -8.80889087471044D
新 -6.146915230134471D
方 -5.827738050919607D
旖 -11.060182673316937D
无 -5.966432472510174D
日 -10.837039122002727D
早 -12.851942142544992D
时 -8.081257518079326D
旷 -11.465647781425101D
旺 -7.014211695379052D
昂 -7.725006392752575D
昌 -9.201283901251253D
明 -3.899789767792887D
昏 -7.653445111279166D
易 -8.217213154315356D
昭 -11.599179174049624D
显 -5.669970042064644D
時 -8.081257518079326D
晃 -11.147194050306567D
晦 -9.633066317676791D
普 -5.289520669821191D
景 -7.176902136754444D
晴 -8.26697466387442D
晶 -8.156017593288436D
暖 -8.124554323832651D
暗 -7.409524432023198D
暢 -7.500084009068925D
暧 -8.782915388307181D
暴 -7.992129738183319D
曖 -8.782915388307181D
曠 -11.465647781425101D
曲 -6.87813253067573D
更 -8.188503048432924D
曼 -11.147194050306567D
最 -3.191705189950725D
會 -10.906031993489679D
有 -3.838529479752126D
服 -10.409595107175788D
朗 -11.147194050306567D
朦 -6.753867860378751D
木 -9.716447926615842D
本 -13.545089323104937D
朴 -7.334489246080284D
机 -6.5356803903963D
杂 -8.439143849204356D
权 -13.545089323104937D
来 -10.212884812929733D
杰 -7.082059866184267D
松 -6.827284628081245D
板 -9.65326902499431D
极 -5.772757747935324D
果 -7.675792409971162D
枯 -8.862958095980717D
柔 -6.660602671062154D
标 -8.853741440875794D
根 -4.892316837446876D
桀 -11.147194050306567D
梗 -13.545089323104937D
棘 -8.632434437368884D
森 -8.357703517264182D
極 -5.772757747935324D
榮 -8.183797157395512D
樂 -5.644823286337235D
標 -8.853741440875794D
模 -7.048314332919074D
横 -9.88152767697529D
樸 -7.334489246080284D
機 -6.5356803903963D
橫 -9.88152767697529D
權 -13.545089323104937D
欠 -12.158794961985047D
欢 -6.898698808257207D
欣 -7.438066435362683D
欺 -10.9801399656434D
款 -11.935651410670836D
歆 -13.545089323104937D
歉 -9.673888312197047D
歡 -6.898698808257207D
正 -4.373281900845538D
武 -9.907503163378552D
歹 -9.59384560452351D
死 -9.188380496415345D
殊 -10.286992785083456D
残 -6.540207333392077D
殘 -6.540207333392077D
殷 -7.7132068458214205D
毅 -12.158794961985047D
毒 -10.11110211861979D
毛 -10.409595107175788D
民 -5.751502519733354D
气 -6.93708869780885D
氣 -6.93708869780885D
水 -10.500566885381515D
污 -10.772500600865156D
汹 -11.060182673316937D
沈 -5.327920727338867D
沉 -5.327920727338867D
沒 -7.9503779435030975D
沙 -9.114272524261624D
没 -7.9503779435030975D
沮 -7.935617527919977D
油 -10.249252457100608D
泥 -13.545089323104937D
泼 -9.114272524261624D
洁 -8.391797728607157D
洋 -10.71187597904872D
洒 -9.09074202685143D
洗 -9.556105276540663D
洪 -8.363305772812852D
洶 -11.060182673316937D
活 -7.2388140361569215D
流 -7.465156128009347D
浅 -8.27208976454119D
浇 -13.545089323104937D
浑 -7.9503779435030975D
浓 -6.3203359173369655D
浩 -8.160594260315849D
浪 -7.692886843330463D
浮 -8.50166420618569D
消 -6.981233796572809D
涵 -12.446477034436827D
涼 -7.9691402199586205D
淋 -13.545089323104937D
淒 -7.071198626752662D
淘 -8.949969472970347D
淡 -8.575276023528936D
淨 -12.158794961985047D
淫 -7.599668714498362D
深 -5.323341594758315D
淳 -9.045279652774672D
淵 -9.114272524261624D
混 -6.222578889107543D
淺 -8.27208976454119D
清 -4.240075337526073D
渊 -9.114272524261624D
温 -5.7202436320780805D
渺 -8.368939590531108D
渾 -7.9503779435030975D
湊 -9.056452953372798D
湍 -8.554656736326201D
湿 -7.992129738183319D
準 -6.205551627697262D
溫 -5.7202436320780805D
溷 -12.446477034436827D
溽 -13.545089323104937D
滂 -11.060182673316937D
滑 -7.8446457497142505D
满 -10.143891941442782D
滿 -10.143891941442782D
漂 -6.503677659310126D
漫 -6.84067496814083D
潇 -8.26697466387442D
潑 -9.114272524261624D
潔 -8.391797728607157D
潦 -9.34039670371397D
潮 -7.188981662409046D
澄 -10.048581761638458D
澆 -13.545089323104937D
澹 -11.24250423011089D
激 -5.266407160134031D
濃 -6.3203359173369655D
濕 -7.992129738183319D
瀟 -8.26697466387442D
灑 -9.09074202685143D
火 -6.464221426414155D
灰 -13.545089323104937D
灵 -5.90304492023168D
灿 -7.670158592252906D
炎 -7.6729715336295214D
炙 -10.500566885381515D
炫 -9.831517256400629D
為 -9.296594081055577D
炽 -8.508136720691308D
烂 -11.753329853876883D
烦 -6.585690810970961D
烧 -10.177793493118463D
烫 -9.296594081055577D
热 -5.184549941734076D
無 -5.966432472510174D
焦 -6.4811853616328685D
煊 -10.500566885381515D
煦 -13.545089323104937D
煩 -6.585690810970961D
煽 -10.71187597904872D
熒 -10.9801399656434D
熟 -7.692886843330463D
熨 -11.347864745768717D
熱 -5.184549941734076D
熹 -10.654717565208772D
熾 -8.508136720691308D
燒 -10.177793493118463D
燙 -9.296594081055577D
燠 -11.060182673316937D
燥 -9.214355982818606D
燦 -7.670158592252906D
爛 -11.753329853876883D
爭 -8.939919137116846D
爱 -6.30372303978262D
爽 -7.597054333924291D
爾 -11.935651410670836D
片 -8.397594846291485D
牛 -11.935651410670836D
牢 -7.620833525690405D
牵 -9.694941721394878D
特 -5.184549941734076D
牽 -9.694941721394878D
犀 -8.782915388307181D
犷 -12.158794961985047D
犹 -6.6616267366918445D
狂 -7.226121209358502D
狎 -12.851942142544992D
狞 -12.158794961985047D
狠 -8.647249523154025D
狡 -7.73095879127987D
独 -5.922425371781342D
狭 -6.50982072382384D
狰 -8.900698423963565D
狹 -6.50982072382384D
狼 -9.831517256400629D
猖 -8.060292389614283D
猙 -8.900698423963565D
猛 -7.0773905970005835D
猶 -6.6616267366918445D
獨 -5.922425371781342D
獰 -12.158794961985047D
獷 -12.158794961985047D
玄 -9.12624871530834D
率 -9.934171410460712D
现 -12.158794961985047D
玲 -8.835559121792603D
珍 -6.363497378493072D
班 -13.545089323104937D
現 -12.158794961985047D
理 -10.600650343938497D
琐 -9.150640168432497D
瑣 -9.150640168432497D
瑩 -11.060182673316937D
瑰 -12.851942142544992D
瓷 -11.24250423011089D
甘 -9.310982818507677D
甜 -7.8117480462071915D
生 -6.506305781716396D
用 -8.716775585802635D
畅 -7.500084009068925D
畏 -9.574797409552815D
異 -5.837577128504597D
疏 -8.31398070625035D
疯 -6.263703659534654D
疲 -5.861225342848507D
疼 -9.3707020532093D
病 -10.367035492756992D
痒 -8.853741440875794D
痛 -7.045302282449082D
痴 -10.549357049550945D
瘋 -6.263703659534654D
瘙 -9.056452953372798D
瘠 -9.831517256400629D
瘦 -7.889097512285084D
癢 -8.853741440875794D
癫 -9.65326902499431D
癲 -9.65326902499431D
發 -5.2470476617333714D
白 -8.87226048864303D
皇 -10.600650343938497D
皓 -12.158794961985047D
皮 -10.837039122002727D
盘 -11.060182673316937D
盡 -13.545089323104937D
盤 -11.060182673316937D
盲 -8.817701504392597D
直 -7.615500179715042D
相 -4.695718819350367D
省 -8.782915388307181D
真 -5.7020253064128825D
眼 -8.791499131998572D
着 -7.014211695379052D
睿 -9.310982818507677D
矍 -10.654717565208772D
矜 -8.87226048864303D
知 -6.362737211219675D
矫 -8.800157194741686D
短 -6.655498014750471D
矮 -8.639814544666507D
矯 -8.800157194741686D
破 -8.26697466387442D
硕 -8.826590451809842D
硬 -8.73290496773252D
确 -7.26282257620893D
碍 -9.001794540834933D
碩 -8.826590451809842D
確 -7.26282257620893D
磊 -10.500566885381515D
礙 -9.001794540834933D
神 -5.7266590510342805D
祥 -8.677554872649354D
福 -13.545089323104937D
离 -8.463684958120474D
秀 -7.365072669452364D
私 -6.084023808750654D
称 -9.045279652774672D
秽 -11.935651410670836D
稀 -6.227213124478442D
稚 -9.114272524261624D
稠 -7.6900174009025095D
稱 -9.045279652774672D
稳 -4.375883494487309D
穎 -10.772500600865156D
穢 -11.935651410670836D
穩 -4.375883494487309D
穷 -8.324733498026612D
空 -6.660602671062154D
突 -5.452544059213638D
窄 -9.175641470637915D
窈 -10.212884812929733D
窒 -12.851942142544992D
窘 -9.023300746055897D
窝 -8.596329432726769D
窩 -8.596329432726769D
窮 -8.324733498026612D
竞 -13.545089323104937D
端 -8.374605328066785D
競 -13.545089323104937D
笃 -11.465647781425101D
笨 -8.133443271249897D
笼 -9.175641470637915D
筋 -11.753329853876883D
简 -4.8367800272132495D
節 -8.826590451809842D
篤 -11.465647781425101D
簡 -4.8367800272132495D
籠 -9.175641470637915D
粗 -6.135952879184809D
粘 -8.929968806263677D
粲 -11.147194050306567D
精 -4.98829087709634D
糊 -6.995438580871126D
糜 -10.9801399656434D
糟 -7.885607107345316D
紅 -7.727978163141732D
紊 -7.664556336704236D
納 -10.286992785083456D
純 -6.870527931290511D
紛 -8.202755071140126D
素 -9.417954938059845D
紧 -4.973976289699269D
累 -10.71187597904872D
細 -5.935227122191383D
結 -7.409524432023198D
絕 -6.7685823307327535D
絢 -8.445222895280738D
經 -10.048581761638458D
綺 -9.417954938059845D
綽 -10.772500600865156D
綿 -9.417954938059845D
緊 -4.973976289699269D
緩 -6.186895570371904D
練 -9.961570384648827D
縝 -9.188380496415345D
縱 -10.772500600865156D
縹 -9.3707020532093D
繁 -5.877463231519946D
繚 -11.347864745768717D
繞 -13.545089323104937D
繾 -11.147194050306567D
纏 -8.84460895731252D
纖 -8.251784498380445D
红 -7.727978163141732D
纤 -8.251784498380445D
纯 -6.870527931290511D
纳 -10.286992785083456D
纵 -10.772500600865156D
纷 -8.202755071140126D
练 -9.961570384648827D
细 -5.935227122191383D
经 -10.048581761638458D
结 -7.409524432023198D
绕 -13.545089323104937D
绚 -8.445222895280738D
绝 -6.7685823307327535D
绮 -9.417954938059845D
绰 -10.772500600865156D
绵 -9.417954938059845D
缓 -6.186895570371904D
缜 -9.188380496415345D
缠 -8.84460895731252D
缥 -9.3707020532093D
缭 -11.347864745768717D
缱 -11.147194050306567D
缺 -9.88152767697529D
罕 -6.7812044145425014D
罗 -9.502038055270386D
羅 -9.502038055270386D
美 -5.830858178255851D
羞 -7.8247775464975255D
義 -9.241024229900768D
翔 -9.12624871530834D
耀 -7.961593014323238D
老 -6.681285931651983D
考 -11.753329853876883D
耐 -6.44671368451415D
耳 -9.907503163378552D
耽 -11.465647781425101D
耿 -9.65326902499431D
聒 -9.484646312558517D
联 -12.158794961985047D
聖 -8.74106827837168D
聪 -6.606804839087977D
聯 -12.158794961985047D
聰 -6.606804839087977D
聱 -12.158794961985047D
聽 -8.308647360274987D
肃 -7.543674445143787D
肅 -7.543674445143787D
肉 -9.989741261615523D
肤 -9.502038055270386D
肥 -6.369599609480715D
肮 -8.368939590531108D
肯 -9.856209868991D
胆 -7.208263591958496D
背 -10.500566885381515D
胖 -11.753329853876883D
胡 -10.772500600865156D
能 -9.163062688431054D
脆 -7.536276137662342D
脏 -10.906031993489679D
脸 -12.158794961985047D
腐 -8.052027879764388D
腥 -9.12624871530834D
腻 -11.060182673316937D
腼 -8.88165022899287D
腿 -13.545089323104937D
膚 -9.502038055270386D
膨 -12.158794961985047D
膩 -11.060182673316937D
膽 -7.208263591958496D
臃 -9.417954938059845D
臉 -12.158794961985047D
臟 -10.906031993489679D
自 -4.804912593175855D
臭 -11.935651410670836D
致 -8.282399134200052D
興 -7.187247056596838D
舒 -6.2405733766447815D
般 -9.88152767697529D
良 -5.164632655262171D
艰 -6.008192193538767D
艱 -6.008192193538767D
艳 -8.324733498026612D
艷 -8.324733498026612D
节 -8.826590451809842D
芜 -10.772500600865156D
花 -10.654717565208772D
苍 -7.017131405482386D
苗 -9.138370075840683D
苛 -8.409290886054675D
苦 -7.226121209358502D
英 -6.931705104725378D
茁 -10.326213498236736D
茂 -7.369222052999175D
茫 -7.546152761158254D
草 -9.150640168432497D
荏 -12.158794961985047D
荒 -6.6504192836714555D
荣 -8.183797157395512D
荧 -10.9801399656434D
荫 -10.409595107175788D
莊 -7.0229965249347845D
莫 -12.158794961985047D
莹 -11.060182673316937D
莽 -9.3707020532093D
華 -7.247980003171001D
萎 -8.853741440875794D
萧 -7.639727475050367D
萬 -10.500566885381515D
落 -6.052329022182557D
著 -7.014211695379052D
葳 -11.935651410670836D
蒙 -9.633066317676791D
蒼 -7.017131405482386D
蓝 -12.851942142544992D
蓬 -7.847995836599533D
蔚 -10.018728798488775D
蔭 -10.409595107175788D
蕪 -10.772500600865156D
蕭 -7.639727475050367D
蕴 -12.851942142544992D
薄 -7.215368417582241D
藍 -12.851942142544992D
藐 -12.851942142544992D
蘊 -12.851942142544992D
虎 -12.851942142544992D
虔 -7.798886132564784D
虚 -6.5045529328889815D
虛 -6.5045529328889815D
虧 -10.9801399656434D
蛮 -9.175641470637915D
蠢 -11.465647781425101D
蠻 -9.175641470637915D
血 -8.256822292410401D
行 -11.465647781425101D
衝 -6.950675863355158D
衰 -7.405204770878682D
被 -6.884514173265251D
褊 -11.060182673316937D
褻 -12.446477034436827D
要 -6.894810274517515D
見 -8.835559121792603D
規 -9.296594081055577D
親 -6.174229156568221D
见 -8.835559121792603D
规 -9.296594081055577D
解 -9.989741261615523D
討 -10.71187597904872D
詫 -7.561153042417747D
詭 -7.604918070384506D
詳 -6.253433113930476D
詼 -9.045279652774672D
認 -11.599179174049624D
誘 -8.330153565495952D
誠 -6.915726069667488D
調 -8.089768207747236D
諧 -9.760899689186676D
諳 -10.018728798488775D
謙 -7.48596612752314D
謹 -5.800519513750442D
識 -9.694941721394878D
认 -11.599179174049624D
讨 -10.71187597904872D
识 -9.694941721394878D
诙 -9.045279652774672D
诚 -6.915726069667488D
诡 -7.604918070384506D
详 -6.253433113930476D
诧 -7.561153042417747D
诱 -8.330153565495952D
调 -8.089768207747236D
谐 -9.760899689186676D
谙 -10.018728798488775D
谦 -7.48596612752314D
谨 -5.800519513750442D
豁 -9.150640168432497D
豐 -4.649596691653304D
象 -10.600650343938497D
豪 -6.532974028798557D
貞 -10.906031993489679D
貧 -6.231202491471475D
貪 -7.6128441356569265D
貴 -8.077029181969806D
費 -7.675792409971162D
貼 -8.098351951438627D
賞 -8.23188334406315D
賢 -9.296594081055577D
賣 -8.910360334875302D
質 -8.4952333158554D
贞 -10.906031993489679D
贤 -9.296594081055577D
败 -10.212884812929733D
质 -8.4952333158554D
贪 -7.6128441356569265D
贫 -6.231202491471475D
贴 -8.098351951438627D
贵 -8.077029181969806D
费 -7.675792409971162D
赏 -8.23188334406315D
赤 -8.900698423963565D
走 -9.989741261615523D
起 -8.662287400518567D
超 -8.217213154315356D
跋 -9.150640168432497D
跌 -12.446477034436827D
跷 -10.500566885381515D
踏 -8.064450399762945D
蹊 -8.188503048432924D
蹩 -10.326213498236736D
蹭 -10.837039122002727D
蹺 -10.500566885381515D
躁 -10.143891941442782D
軒 -9.961570384648827D
軟 -7.81824157551774D
